"Genus","taxon_beta","BDI_category_antidepressant_uselow+yes_beta","BDI_category_antidepressant_usehigh+no_beta","BDI_category_antidepressant_usehigh+yes_beta","taxon_se","BDI_category_antidepressant_uselow+yes_se","BDI_category_antidepressant_usehigh+no_se","BDI_category_antidepressant_usehigh+yes_se","taxon_W","BDI_category_antidepressant_uselow+yes_W","BDI_category_antidepressant_usehigh+no_W","BDI_category_antidepressant_usehigh+yes_W","taxon_p_val","BDI_category_antidepressant_uselow+yes_p_val","BDI_category_antidepressant_usehigh+no_p_val","BDI_category_antidepressant_usehigh+yes_p_val","taxon_q_val","BDI_category_antidepressant_uselow+yes_q_val","BDI_category_antidepressant_usehigh+no_q_val","BDI_category_antidepressant_usehigh+yes_q_val","taxon_diff_abn","BDI_category_antidepressant_uselow+yes_diff_abn","BDI_category_antidepressant_usehigh+no_diff_abn","BDI_category_antidepressant_usehigh+yes_diff_abn"
"1","fbbeae3dceada6928b2cdc472f5d9901",0.565493478563562,0.884642686605472,0.329657921055109,"fbbeae3dceada6928b2cdc472f5d9901",0.814481957654563,1.42365132596428,0.853465633306338,"fbbeae3dceada6928b2cdc472f5d9901",0.694298349090501,0.621389992388956,0.386257991171841,"fbbeae3dceada6928b2cdc472f5d9901",0.48749512611053,0.534343055044938,0.6993056090542,"fbbeae3dceada6928b2cdc472f5d9901",0.856089001950198,0.769725148394673,0.982590620158387,"fbbeae3dceada6928b2cdc472f5d9901",FALSE,FALSE,FALSE
"2","6c5d1b5e9f8130357774ec6cbdd614da",1.43082248926648,0.0109347220594251,0.496941453190544,"6c5d1b5e9f8130357774ec6cbdd614da",0.90633036654702,0.792111306616132,0.554014389101151,"6c5d1b5e9f8130357774ec6cbdd614da",1.57869860933568,0.0138045271770426,0.896982935762365,"6c5d1b5e9f8130357774ec6cbdd614da",0.114405203962741,0.98898593071333,0.369728022689529,"6c5d1b5e9f8130357774ec6cbdd614da",0.570799674124962,0.98898593071333,0.800451430572734,"6c5d1b5e9f8130357774ec6cbdd614da",FALSE,FALSE,FALSE
"3","e8d0f444dc3a43708bc843fd8472b381",-0.369394460563008,-2.94751889835214,1.25992957219962,"e8d0f444dc3a43708bc843fd8472b381",0.660310483292324,0.546495302026329,0.882076929384707,"e8d0f444dc3a43708bc843fd8472b381",-0.559425406546929,-5.39349357153327,1.42836699411069,"e8d0f444dc3a43708bc843fd8472b381",0.575871426093303,6.91007990954711e-08,0.153186254082591,"e8d0f444dc3a43708bc843fd8472b381",0.879963989926103,1.65841917829131e-06,0.441176411757861,"e8d0f444dc3a43708bc843fd8472b381",FALSE,TRUE,FALSE
"4","7a6db5f059c69a310d7c97e1b488fe74",-0.228217612094579,-1.43249521534637,0.398349275684783,"7a6db5f059c69a310d7c97e1b488fe74",0.433845504317147,0.674092936305765,0.519426301902008,"7a6db5f059c69a310d7c97e1b488fe74",-0.526034290602557,-2.12507079987648,0.766902396405665,"7a6db5f059c69a310d7c97e1b488fe74",0.598864382033042,0.0335807056600796,0.443139548763439,"7a6db5f059c69a310d7c97e1b488fe74",0.879963989926103,0.172700771966123,0.86232560840453,"7a6db5f059c69a310d7c97e1b488fe74",FALSE,FALSE,FALSE
"5","a0f9d2150e3f8419a6ade2e296eafb5f",0.202084780709474,-1.28822204417415,0.153614911880334,"a0f9d2150e3f8419a6ade2e296eafb5f",0.659783545335705,1.00656217939736,0.767702609567898,"a0f9d2150e3f8419a6ade2e296eafb5f",0.306289512883579,-1.279823612035,0.200096899457977,"a0f9d2150e3f8419a6ade2e296eafb5f",0.759384223282286,0.200607177652848,0.841404798206063,"a0f9d2150e3f8419a6ade2e296eafb5f",0.896322361906961,0.555527568884809,0.982590620158387,"a0f9d2150e3f8419a6ade2e296eafb5f",FALSE,FALSE,FALSE
"6","1bf54441e8be15a502162eb368138b5e",0.133252802783932,-0.173187276589008,1.18401895557555,"1bf54441e8be15a502162eb368138b5e",0.42373985154035,0.286290572855541,0.744574614513299,"1bf54441e8be15a502162eb368138b5e",0.314468422782376,-0.604935310518925,1.59019516982795,"1bf54441e8be15a502162eb368138b5e",0.753165295844118,0.545221980112893,0.111790818943242,"1bf54441e8be15a502162eb368138b5e",0.896322361906961,0.769725148394673,0.365860861996064,"1bf54441e8be15a502162eb368138b5e",FALSE,FALSE,FALSE
"7","c6b61011752152bbbc32003f5d0c5398",-0.141658935385925,-1.25870100261725,0.588811493161262,"c6b61011752152bbbc32003f5d0c5398",0.735827107516848,0.774267035506944,0.633622309462766,"c6b61011752152bbbc32003f5d0c5398",-0.192516603341745,-1.62566781858811,0.92927834826476,"c6b61011752152bbbc32003f5d0c5398",0.847337563573461,0.104020339551916,0.352744853060379,"c6b61011752152bbbc32003f5d0c5398",0.928053088009432,0.374473222386899,0.800451430572734,"c6b61011752152bbbc32003f5d0c5398",FALSE,FALSE,FALSE
"8","19563b70bb3469c665c888e4685e7f99",-0.0532853465729448,-0.173781243619898,0.271142570592391,"19563b70bb3469c665c888e4685e7f99",0.590027096588071,0.335965296044157,0.403128621869641,"19563b70bb3469c665c888e4685e7f99",-0.0903099991188137,-0.51725950765182,0.672595682576143,"19563b70bb3469c665c888e4685e7f99",0.92804087447472,0.60497501646347,0.501204549172945,"19563b70bb3469c665c888e4685e7f99",0.941111872706758,0.808132291279962,0.869691193610687,"19563b70bb3469c665c888e4685e7f99",FALSE,FALSE,FALSE
"9","ec65ab01e974afdd946f7c025b3ceba5",-0.892024026920381,-1.61414552737961,-0.0866684600272861,"ec65ab01e974afdd946f7c025b3ceba5",0.435051557708794,0,0.401244539112363,"ec65ab01e974afdd946f7c025b3ceba5",-2.05038692797295,-6.0580654089329,-0.215999101742331,"ec65ab01e974afdd946f7c025b3ceba5",0.0403266877895666,0,0.828988447745072,"ec65ab01e974afdd946f7c025b3ceba5",0.414591839257573,0,0.982590620158387,"ec65ab01e974afdd946f7c025b3ceba5",FALSE,TRUE,FALSE
"10","a965d63a2b3f783b281a48f774847f29",0.695764634286453,0.392152533114015,-0.330968927897964,"a965d63a2b3f783b281a48f774847f29",0.674671653295721,0.637552910495734,0.360917742660156,"a965d63a2b3f783b281a48f774847f29",1.03126406880694,0.61509017786319,-0.917020386580463,"a965d63a2b3f783b281a48f774847f29",0.302417003165291,0.53849516827601,0.35913195735745,"a965d63a2b3f783b281a48f774847f29",0.8370044680422,0.769725148394673,0.800451430572734,"a965d63a2b3f783b281a48f774847f29",FALSE,FALSE,FALSE
